Class ID	Preferred Label	Synonyms	Definitions	Obsolete	CUI	Semantic Types	Parents	Citation	Created in	deprecation_candidate	deprecation_comment	Documentation	Example	File extension	has format	has function	has identifier	has input	has output	has topic	hasHumanReadableId	http://data.bioontology.org/metadata/prefixIRI	http://edamontology.org/comment_handle	http://edamontology.org/next_id	http://purl.obolibrary.org/obo/date	http://purl.obolibrary.org/obo/edam#data	http://purl.obolibrary.org/obo/edam#edam	http://purl.obolibrary.org/obo/edam#events	http://purl.obolibrary.org/obo/edam#formats	http://purl.obolibrary.org/obo/edam#identifiers	http://purl.obolibrary.org/obo/edam#obsolete	http://purl.obolibrary.org/obo/edam#operations	http://purl.obolibrary.org/obo/edam#placeholder	http://purl.obolibrary.org/obo/edam#topics	http://purl.obolibrary.org/obo/idspace	http://purl.obolibrary.org/obo/is_anti_symmetric	http://purl.obolibrary.org/obo/is_metadata_tag	http://purl.obolibrary.org/obo/is_reflexive	http://purl.obolibrary.org/obo/is_symmetric	http://purl.obolibrary.org/obo/namespace	http://purl.obolibrary.org/obo/remark	http://purl.obolibrary.org/obo/transitive_over	http://purl.org/dc/elements/1.1/contributor	http://purl.org/dc/elements/1.1/creator	http://purl.org/dc/elements/1.1/format	http://purl.org/dc/elements/1.1/title	http://usefulinc.com/ns/doap#Version	http://www.geneontology.org/formats/oboInOwl#comment	http://www.geneontology.org/formats/oboInOwl#consider	http://www.geneontology.org/formats/oboInOwl#hasAlternativeId	http://www.geneontology.org/formats/oboInOwl#hasBroadSynonym	http://www.geneontology.org/formats/oboInOwl#hasDbXRef	http://www.geneontology.org/formats/oboInOwl#hasDbXref	http://www.geneontology.org/formats/oboInOwl#hasDefinition	http://www.geneontology.org/formats/oboInOwl#hasExactSynonym	http://www.geneontology.org/formats/oboInOwl#hasHumanReadableId	http://www.geneontology.org/formats/oboInOwl#hasNarrowSynonym	http://www.geneontology.org/formats/oboInOwl#hasRelatedSynonym	http://www.geneontology.org/formats/oboInOwl#hasSubset	http://www.geneontology.org/formats/oboInOwl#inSubset	http://www.geneontology.org/formats/oboInOwl#isCyclic	http://www.geneontology.org/formats/oboInOwl#replacedBy	http://www.geneontology.org/formats/oboInOwl#savedBy	http://www.geneontology.org/formats/oboInOwl#SubsetProperty	http://xmlns.com/foaf/0.1/page	Information standard	is format of	is function of	is identifier of	is input of	is output of	is topic of	isdebtag	Media type	notRecommendedForAnnotation	Obsolete since	Old parent	Old related	Ontology used	Organisation	refactor_candidate	refactor_comment	Regular expression	Repository	thematic_editor
http://edamontology.org/data_0843	Database entry		An entry (retrievable via URL) from a biological database.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0843																											http://edamontology.org/data_0006					An entry (retrievable via URL) from a biological database.						http://purl.obolibrary.org/obo/edam#obsolete																beta12orEarlier									
http://edamontology.org/data_0844	Molecular mass		Mass of a molecule.	FALSE			http://edamontology.org/data_2050		beta12orEarlier													data_0844																																Mass of a molecule.						http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0845	Molecular charge		Net charge of a molecule.	FALSE			http://edamontology.org/data_2050		beta12orEarlier													data_0845																															PDBML:pdbx_formal_charge	Net charge of a molecule.						http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0846	Chemical formula	Chemical structure specification	A specification of a chemical structure.	FALSE			http://edamontology.org/data_2050		beta12orEarlier													data_0846																																A specification of a chemical structure.	Chemical structure specification					http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0847	QSAR descriptor		A QSAR quantitative descriptor (name-value pair) of chemical structure.|QSAR descriptors have numeric values that quantify chemical information encoded in a symbolic representation of a molecule. They are used in quantitative structure activity relationship (QSAR) applications. Many subtypes of individual descriptors (not included in EDAM) cover various types of protein properties.	FALSE			http://edamontology.org/data_2050		beta12orEarlier													data_0847																																A QSAR quantitative descriptor (name-value pair) of chemical structure.						http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0848	Raw sequence		"A raw molecular sequence (string of characters) which might include ambiguity, unknown positions and non-sequence characters.|Non-sequence characters may be used for example for gaps and translation stop."	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier		"Deprecated because this is bloat / confusing & better handled as an EDAM Format concept - ""raw"" sequences just imply a particular format (i.e. one with a vanilla string, possible in a particular alphabet, with no metadata)."											data_0848																																"A raw molecular sequence (string of characters) which might include ambiguity, unknown positions and non-sequence characters."						http://purl.obolibrary.org/obo/edam#obsolete		http://edamontology.org/data_2044														1.23	http://edamontology.org/data_2044								
http://edamontology.org/data_0849	Sequence record		A molecular sequence and associated metadata.	FALSE			http://edamontology.org/data_2044		beta12orEarlier													data_0849																															SO:2000061	A molecular sequence and associated metadata.						http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0850	Sequence set	Alignment reference|SO:0001260	"A collection of one or typically multiple molecular sequences (which can include derived data or metadata) that do not (typically) correspond to molecular sequence database records or entries and which (typically) are derived from some analytical method.|An example is an alignment reference; one or a set of reference molecular sequences, structures, or profiles used for alignment of genomic, transcriptomic, or proteomic experimental data.|This concept may be used for arbitrary sequence sets and associated data arising from processing."	FALSE			http://edamontology.org/data_0006		beta12orEarlier													data_0850																																A collection of one or typically multiple molecular sequences (which can include derived data or metadata) that do not (typically) correspond to molecular sequence database records or entries and which (typically) are derived from some analytical method.			Alignment reference	SO:0001260		http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0851	Sequence mask character		A character used to replace (mask) other characters in a molecular sequence.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0851																											http://edamontology.org/data_2534					A character used to replace (mask) other characters in a molecular sequence.						http://purl.obolibrary.org/obo/edam#obsolete																1.5									
http://edamontology.org/data_0852	Sequence mask type		"A label (text token) describing the type of sequence masking to perform.|Sequence masking is where specific characters or positions in a molecular sequence are masked (replaced) with an another (mask character). The mask type indicates what is masked, for example regions that are not of interest or which are information-poor including acidic protein regions, basic protein regions, proline-rich regions, low compositional complexity regions, short-periodicity internal repeats, simple repeats and low complexity regions. Masked sequences are used in database search to eliminate statistically significant but biologically uninteresting hits."	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0852																											http://edamontology.org/data_0842					A label (text token) describing the type of sequence masking to perform.						http://purl.obolibrary.org/obo/edam#obsolete																1.5									
http://edamontology.org/data_0853	DNA sense specification		"The strand of a DNA sequence (forward or reverse).|The forward or 'top' strand might specify a sequence is to be used as given, the reverse or 'bottom' strand specifying the reverse complement of the sequence is to be used."	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0853																											http://edamontology.org/data_2534					The strand of a DNA sequence (forward or reverse).						http://purl.obolibrary.org/obo/edam#obsolete																1.20	http://edamontology.org/data_2534								
http://edamontology.org/data_0854	Sequence length specification		A specification of sequence length(s).	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0854																											http://edamontology.org/data_1249					A specification of sequence length(s).						http://purl.obolibrary.org/obo/edam#obsolete																1.5									
http://edamontology.org/data_0855	Sequence metadata		"Basic or general information concerning molecular sequences.|This is used for such things as a report including the sequence identifier, type and length."	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0855																											http://edamontology.org/data_2955					Basic or general information concerning molecular sequences.						http://purl.obolibrary.org/obo/edam#obsolete																1.5									
http://edamontology.org/data_0856	Sequence feature source		"How the annotation of a sequence feature (for example in EMBL or Swiss-Prot) was derived.|This might be the name and version of a software tool, the name of a database, or 'curated' to indicate a manual annotation (made by a human)."	FALSE			http://edamontology.org/data_2914		beta12orEarlier													data_0856																																How the annotation of a sequence feature (for example in EMBL or Swiss-Prot) was derived.						http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0857	Sequence search results	Sequence database search results||Sequence search hits|Database hits (sequence)|Sequence database hits	"A report of sequence hits and associated data from searching a database of sequences (for example a BLAST search). This will typically include a list of scores (often with statistical evaluation) and a set of alignments for the hits.|The score list includes the alignment score, percentage of the query sequence matched, length of the database sequence entry in this alignment, identifier of the database sequence entry, excerpt of the database sequence entry description etc."	FALSE			http://edamontology.org/data_2080		beta12orEarlier													data_0857																																A report of sequence hits and associated data from searching a database of sequences (for example a BLAST search). This will typically include a list of scores (often with statistical evaluation) and a set of alignments for the hits.	Sequence database search results||Sequence search hits|Database hits (sequence)|Sequence database hits					http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0858	Sequence signature matches	Sequence profile alignment|Profile-profile alignment|Sequence motif matches|Sequence motif hits|Protein secondary database search results|Sequence-profile alignment|Sequence profile hits|Search results (protein secondary database)|Sequence profile matches	"Report on the location of matches (""hits"") between sequences, sequence profiles, motifs (conserved or functional patterns) and other types of sequence signatures.|A ""profile-profile alignment"" is an alignment of two sequence profiles, each profile typically representing a sequence alignment.|This includes reports of hits from a search of a protein secondary or domain database. Data associated with the search or alignment might also be included, e.g. ranked list of best-scoring sequences, a graphical representation of scores etc.|A ""sequence-profile alignment"" is an alignment of one or more molecular sequence(s) to one or more sequence profile(s) (each profile typically representing a sequence alignment)."	FALSE			http://edamontology.org/data_0860|http://edamontology.org/data_1916		beta12orEarlier													data_0858																																"Report on the location of matches (""hits"") between sequences, sequence profiles, motifs (conserved or functional patterns) and other types of sequence signatures."			Sequence profile alignment|Profile-profile alignment|Sequence motif matches|Sequence motif hits|Protein secondary database search results|Sequence-profile alignment|Sequence profile hits|Search results (protein secondary database)|Sequence profile matches			http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0859	Sequence signature model		Data files used by motif or profile methods.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0859																											http://edamontology.org/data_0950					Data files used by motif or profile methods.						http://purl.obolibrary.org/obo/edam#obsolete																beta12orEarlier									
http://edamontology.org/data_0860	Sequence signature data		"Data concering concerning specific or conserved pattern in molecular sequences and the classifiers used for their identification, including sequence motifs, profiles or other diagnostic element.|This can include metadata about a motif or sequence profile such as its name, length, technical details about the profile construction, and so on."	FALSE			http://edamontology.org/data_0006		beta12orEarlier													data_0860																																"Data concering concerning specific or conserved pattern in molecular sequences and the classifiers used for their identification, including sequence motifs, profiles or other diagnostic element."						http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0861	Sequence alignment (words)	Sequence word alignment	Alignment of exact matches between subsequences (words) within two or more molecular sequences.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0861																											http://edamontology.org/data_0863					Alignment of exact matches between subsequences (words) within two or more molecular sequences.	Sequence word alignment					http://purl.obolibrary.org/obo/edam#obsolete																1.5									
http://edamontology.org/data_0862	Dotplot		A dotplot of sequence similarities identified from word-matching or character comparison.	FALSE			http://edamontology.org/data_0867		beta12orEarlier													data_0862																																A dotplot of sequence similarities identified from word-matching or character comparison.						http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0863	Sequence alignment	Multiple sequence aligment|msa	Alignment of multiple molecular sequences.	FALSE			http://edamontology.org/data_1916		beta12orEarlier													data_0863																																Alignment of multiple molecular sequences.	Multiple sequence aligment|msa					http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0864	Sequence alignment parameter		Some simple value controlling a sequence alignment (or similar 'match') operation.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0864																											http://edamontology.org/data_2534					Some simple value controlling a sequence alignment (or similar 'match') operation.						http://purl.obolibrary.org/obo/edam#obsolete																1.5									
http://edamontology.org/data_0865	Sequence similarity score		A value representing molecular sequence similarity.	FALSE			http://edamontology.org/data_1772		beta12orEarlier													data_0865																																A value representing molecular sequence similarity.						http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0866	Sequence alignment metadata		"Report of general information on a sequence alignment, typically include a description, sequence identifiers and alignment score."	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0866																											http://edamontology.org/data_0867					"Report of general information on a sequence alignment, typically include a description, sequence identifiers and alignment score."						http://purl.obolibrary.org/obo/edam#obsolete																1.5									
http://edamontology.org/data_0867	Sequence alignment report	Sequence alignment metadata	"An informative report of molecular sequence alignment-derived data or metadata.|Use this for any computer-generated reports on sequence alignments, and for general information (metadata) on a sequence alignment, such as a description, sequence identifiers and alignment score."	FALSE			http://edamontology.org/data_2048		beta12orEarlier													data_0867																																An informative report of molecular sequence alignment-derived data or metadata.	Sequence alignment metadata					http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0868	Profile-profile alignment		A profile-profile alignment (each profile typically representing a sequence alignment).	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier		"""Sequence-profile alignment"" and ""Profile-profile alignment"" are synonymous with ""Sequence signature matches"" which was already stated as including matches (alignment) and other data."											data_0868																																A profile-profile alignment (each profile typically representing a sequence alignment).						http://purl.obolibrary.org/obo/edam#obsolete		http://edamontology.org/data_0858															http://edamontology.org/data_1916								
http://edamontology.org/data_0869	Sequence-profile alignment		Alignment of one or more molecular sequence(s) to one or more sequence profile(s) (each profile typically representing a sequence alignment).	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier		"""Sequence-profile alignment"" and ""Profile-profile alignment"" are synonymous with ""Sequence signature matches"" which was already stated as including matches (alignment) and other data."											data_0869																																Alignment of one or more molecular sequence(s) to one or more sequence profile(s) (each profile typically representing a sequence alignment).						http://purl.obolibrary.org/obo/edam#obsolete		http://edamontology.org/data_0858														1.24	http://edamontology.org/data_1916								
http://edamontology.org/data_0870	Sequence distance matrix	Phylogenetic distance matrix	"A matrix of estimated evolutionary distance between molecular sequences, such as is suitable for phylogenetic tree calculation.|Methods might perform character compatibility analysis or identify patterns of similarity in an alignment or data matrix."	FALSE			http://edamontology.org/data_2855		beta12orEarlier													data_0870																															Moby:phylogenetic_distance_matrix	"A matrix of estimated evolutionary distance between molecular sequences, such as is suitable for phylogenetic tree calculation."	Phylogenetic distance matrix					http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0871	Phylogenetic character data		"Basic character data from which a phylogenetic tree may be generated.|As defined, this concept would also include molecular sequences, microsatellites, polymorphisms (RAPDs, RFLPs, or AFLPs), restriction sites and fragments"	FALSE			http://edamontology.org/data_2523		beta12orEarlier													data_0871																																Basic character data from which a phylogenetic tree may be generated.						http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0872	Phylogenetic tree	Phylogeny	"The raw data (not just an image) from which a phylogenetic tree is directly generated or plotted, such as topology, lengths (in time or in expected amounts of variance) and a confidence interval for each length.|A phylogenetic tree is usually constructed from a set of sequences from which an alignment (or data matrix) is calculated. See also 'Phylogenetic tree image'."	FALSE			http://edamontology.org/data_2523		beta12orEarlier													data_0872																															Moby:Tree|Moby:myTree|Moby:phylogenetic_tree	"The raw data (not just an image) from which a phylogenetic tree is directly generated or plotted, such as topology, lengths (in time or in expected amounts of variance) and a confidence interval for each length."	Phylogeny					http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0874	Comparison matrix	Substitution matrix	"Matrix of integer or floating point numbers for amino acid or nucleotide sequence comparison.|The comparison matrix might include matrix name, optional comment, height and width (or size) of matrix, an index row/column (of characters) and data rows/columns (of integers or floats)."	FALSE			http://edamontology.org/data_2082		beta12orEarlier													data_0874																																Matrix of integer or floating point numbers for amino acid or nucleotide sequence comparison.	Substitution matrix					http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0875	Protein topology		Predicted or actual protein topology represented as a string of protein secondary structure elements.|The location and size of the secondary structure elements and intervening loop regions is usually indicated.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0875																																Predicted or actual protein topology represented as a string of protein secondary structure elements.						http://purl.obolibrary.org/obo/edam#obsolete		http://edamontology.org/data_1277														beta12orEarlier									
http://edamontology.org/data_0876	Protein features report (secondary structure)		Secondary structure (predicted or real) of a protein.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0876																																Secondary structure (predicted or real) of a protein.						http://purl.obolibrary.org/obo/edam#obsolete		http://edamontology.org/data_1277														1.8									
http://edamontology.org/data_0877	Protein features report (super-secondary)		"Super-secondary structure of protein sequence(s).|Super-secondary structures include leucine zippers, coiled coils, Helix-Turn-Helix etc."	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0877																																Super-secondary structure of protein sequence(s).						http://purl.obolibrary.org/obo/edam#obsolete		http://edamontology.org/data_1277														1.8									
http://edamontology.org/data_0878	Protein secondary structure alignment	Secondary structure alignment (protein)	Alignment of the (1D representations of) secondary structure of two or more proteins.	FALSE			http://edamontology.org/data_2366		beta12orEarlier	TRUE												data_0878																																Alignment of the (1D representations of) secondary structure of two or more proteins.	Secondary structure alignment (protein)					http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0879	Secondary structure alignment metadata (protein)		An informative report on protein secondary structure alignment-derived data or metadata.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0879																											http://edamontology.org/data_0867					An informative report on protein secondary structure alignment-derived data or metadata.						http://purl.obolibrary.org/obo/edam#obsolete																beta12orEarlier									
http://edamontology.org/data_0880	RNA secondary structure	Secondary structure (RNA)	"An informative report of secondary structure (predicted or real) of an RNA molecule.|This includes thermodynamically stable or evolutionarily conserved structures such as knots, pseudoknots etc."	FALSE			http://edamontology.org/data_1465		beta12orEarlier													data_0880																															Moby:RNAStructML	An informative report of secondary structure (predicted or real) of an RNA molecule.	Secondary structure (RNA)					http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0881	RNA secondary structure alignment	Secondary structure alignment (RNA)	Alignment of the (1D representations of) secondary structure of two or more RNA molecules.	FALSE			http://edamontology.org/data_2366		beta12orEarlier	TRUE												data_0881																															Moby:RNAStructAlignmentML	Alignment of the (1D representations of) secondary structure of two or more RNA molecules.	Secondary structure alignment (RNA)					http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0882	Secondary structure alignment metadata (RNA)		An informative report of RNA secondary structure alignment-derived data or metadata.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0882																											http://edamontology.org/data_0867					An informative report of RNA secondary structure alignment-derived data or metadata.						http://purl.obolibrary.org/obo/edam#obsolete																beta12orEarlier									
http://edamontology.org/data_0883	Structure	Coordinate model|Structure data	3D coordinate and associated data for a macromolecular tertiary (3D) structure or part of a structure.|The coordinate data may be predicted or real.	FALSE			http://edamontology.org/data_0006		beta12orEarlier													data_0883																																3D coordinate and associated data for a macromolecular tertiary (3D) structure or part of a structure.	Coordinate model|Structure data					http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0884	Tertiary structure record		An entry from a molecular tertiary (3D) structure database.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0884																											http://edamontology.org/data_0883					An entry from a molecular tertiary (3D) structure database.						http://purl.obolibrary.org/obo/edam#obsolete																beta12orEarlier									
http://edamontology.org/data_0885	Structure database search results		Results (hits) from searching a database of tertiary structure.	TRUE			http://www.w3.org/2002/07/owl#DeprecatedClass		beta12orEarlier													data_0885																											http://edamontology.org/data_2080					Results (hits) from searching a database of tertiary structure.						http://purl.obolibrary.org/obo/edam#obsolete																1.8									
http://edamontology.org/data_0886	Structure alignment		"Alignment (superimposition) of molecular tertiary (3D) structures.|A tertiary structure alignment will include the untransformed coordinates of one macromolecule, followed by the second (or subsequent) structure(s) with all the coordinates transformed (by rotation / translation) to give a superposition."	FALSE			http://edamontology.org/data_1916		beta12orEarlier													data_0886																																Alignment (superimposition) of molecular tertiary (3D) structures.						http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
http://edamontology.org/data_0887	Structure alignment report		"An informative report of molecular tertiary structure alignment-derived data.|This is a broad data type and is used a placeholder for other, more specific types."	FALSE			http://edamontology.org/data_2048		beta12orEarlier													data_0887																																An informative report of molecular tertiary structure alignment-derived data.						http://purl.obolibrary.org/obo/edam#edam|http://purl.obolibrary.org/obo/edam#data																									
